token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,symbol_clean
21427,THEINVEST-EQ,THEINVEST,,-1.000000,1,,NSE,1.000000,THEINVEST
21623,APEX-EQ,APEX,,-1.000000,1,,NSE,1.000000,APEX
21749,CAPACITE-EQ,CAPACITE,,-1.000000,1,,NSE,5.000000,CAPACITE
21770,ICICIGI-EQ,ICICIGI,,-1.000000,1,,NSE,10.000000,ICICIGI
22277,WORTH-EQ,WORTH,,-1.000000,1,,NSE,1.000000,WORTH
22365,ITIETF-EQ,ITIETF,,-1.000000,1,,NSE,1.000000,ITIETF
17197,PAKKA-EQ,PAKKA,,-1.000000,1,,NSE,1.000000,PAKKA
17207,ITETFADD-EQ,ITETFADD,,-1.000000,1,,NSE,1.000000,ITETFADD
17271,SENCO-EQ,SENCO,,-1.000000,1,,NSE,5.000000,SENCO
17357,GKWLIMITED-EQ,GKWLIMITED,,-1.000000,1,,NSE,10.000000,GKWLIMITED
17397,PREMEXPLN-EQ,PREMEXPLN,,-1.000000,1,,NSE,5.000000,PREMEXPLN
17738,YATHARTH-EQ,YATHARTH,,-1.000000,1,,NSE,5.000000,YATHARTH
17859,REDTAPE-EQ,REDTAPE,,-1.000000,1,,NSE,1.000000,REDTAPE
17778,ATL-EQ,ATL,,-1.000000,1,,NSE,1.000000,ATL
18039,ADVENZYMES-EQ,ADVENZYMES,,-1.000000,1,,NSE,5.000000,ADVENZYMES
18102,NIFTY1-EQ,NIFTY1,,-1.000000,1,,NSE,1.000000,NIFTY1
18110,VASCONEQ-EQ,VASCONEQ,,-1.000000,1,,NSE,1.000000,VASCONEQ
18119,SRGHFL-EQ,SRGHFL,,-1.000000,1,,NSE,5.000000,SRGHFL
18151,TVSSCS-EQ,TVSSCS,,-1.000000,1,,NSE,1.000000,TVSSCS
1835,KANORICHEM-EQ,KANORICHEM,,-1.000000,1,,NSE,1.000000,KANORICHEM
18371,NDGL-EQ,NDGL,,-1.000000,1,,NSE,10.000000,NDGL
18423,RATNAVEER-EQ,RATNAVEER,,-1.000000,1,,NSE,1.000000,RATNAVEER
18457,POWERINDIA-EQ,POWERINDIA,,-1.000000,1,,NSE,100.000000,POWERINDIA
18553,JLHL-EQ,JLHL,,-1.000000,1,,NSE,10.000000,JLHL
18566,RRKABEL-EQ,RRKABEL,,-1.000000,1,,NSE,10.000000,RRKABEL
